ENGINESIZE,CYLINDERS,FUELCONSUMPTION_CITY,FUELCONSUMPTION_HWY,CO2EMISSIONS
2.0,4,9.9,6.7,196
2.4,4,11.2,7.7,221
1.5,4,6.0,5.8,136
3.5,6,12.7,9.1,255
3.5,6,12.1,8.7,244
3.5,6,11.9,7.7,230
3.5,6,11.8,8.1,232
3.7,6,12.8,9.0,255
3.7,6,13.4,9.5,267
2.4,4,10.6,7.5,212
2.4,4,11.2,8.1,225
3.5,6,12.1,8.3,239
5.9,12,18.0,12.6,359
5.9,12,18.0,12.6,359
4.7,8,17.4,11.3,338
4.7,8,18.1,12.2,354
4.7,8,17.4,11.3,338
4.7,8,18.1,12.2,354
5.9,12,18.0,12.6,359
2.0,4,9.9,7.4,202
2.0,4,11.5,8.1,230
2.0,4,10.8,7.5,214
2.0,4,11.5,8.1,230
2.0,4,11.5,8.1,230
2.0,4,10.8,7.5,214
2.0,4,12.0,8.1,235
3.0,6,12.8,8.6,251
3.0,6,9.8,6.4,224
3.0,6,13.1,8.8,258
3.0,6,9.8,6.4,224
3.0,6,13.1,8.8,258
4.0,8,13.5,8.6,260
3.0,6,10.0,6.4,227
3.0,6,13.1,8.8,258
4.0,8,14.7,9.7,288
6.3,12,18.2,12.6,361
3.0,6,10.1,6.5,230
2.0,4,11.8,8.8,242
2.0,4,12.0,8.5,239
3.0,6,12.9,9.2,258
2.0,4,9.9,8.3,212
3.0,6,10.3,7.6,246
3.0,6,15.1,10.9,304
3.0,6,12.9,8.4,294
4.2,8,17.6,11.0,336
4.2,8,21.2,13.4,407
5.2,10,18.8,11.3,354
5.2,10,21.1,13.8,409
4.2,8,17.6,11.0,336
4.2,8,21.2,13.4,407
5.2,10,18.8,11.3,354
5.2,10,21.1,13.8,409
4.2,8,15.3,10.9,306
4.2,8,15.2,11.3,308
4.0,8,15.3,9.3,290
3.0,6,13.2,9.2,262
3.0,6,14.6,9.8,285
3.0,6,13.2,9.2,262
3.0,6,14.6,9.8,285
3.0,6,13.3,9.5,267
4.0,8,14.2,9.7,281
4.0,8,14.2,9.7,281
4.0,8,15.4,9.8,297
3.0,6,14.9,10.1,292
2.0,4,10.4,7.6,209
2.0,4,10.4,7.6,209
2.0,4,11.5,8.8,237
2.0,4,11.5,8.8,237
4.0,8,15.4,9.8,297
6.0,12,18.8,11.5,356
4.0,8,16.8,10.3,320
6.0,12,20.0,12.2,380
4.0,8,16.7,10.6,322
6.0,12,20.0,12.2,380
6.0,12,20.0,12.2,380
6.8,8,22.3,14.9,437
2.0,4,10.0,6.5,193
2.0,4,10.4,6.7,200
2.0,4,10.2,7.0,202
2.0,4,7.6,5.5,181
2.0,4,7.6,5.5,181
2.0,4,10.0,6.5,193
2.0,4,10.4,6.7,200
2.0,4,10.6,7.2,209
2.0,4,10.6,7.2,209
2.0,4,10.6,7.2,209
3.0,6,11.4,7.3,221
3.0,6,11.8,7.9,230
3.0,6,11.7,7.8,228
3.0,6,11.9,8.3,237
3.0,6,11.9,8.0,232
2.0,4,10.0,6.5,193
