Area Type, Area, Area Name, Standard Occupational Code, Occupational Title, Employment,Mean Wage, Median Wage, Entry Wage, Experienced Wage                                                                                                                                                                                                                                             
1,36,New York State,00-0000,"Total, All Occupations",8691440,69630,50890,30580,89160
1,36,New York State,11-0000,Management Occupations,473070,164980,146610,80000,207470
1,36,New York State,11-1011,Chief Executives,7280,221200,,108850,277370
1,36,New York State,11-1021,General and Operations Managers,158110,160850,137720,68470,207040
1,36,New York State,11-1031,Legislators,6030,94430,96170,84450,99430
1,36,New York State,11-2011,Advertising and Promotions Managers,7660,185730,168570,106530,225320
1,36,New York State,11-2021,Marketing Managers,21740,197150,183300,123760,233840
1,36,New York State,11-2022,Sales Managers,23230,203920,190800,113490,249140
1,36,New York State,11-2030,Public Relations and Fundraising Managers,6560,177160,160380,95690,217900
1,36,New York State,11-3010,Administrative Services Managers,17670,145390,132810,90450,172870
1,36,New York State,11-3021,Computer and Information Systems Managers,29050,195370,181870,120830,232640
1,36,New York State,11-3031,Financial Managers,45390,218080,204220,124060,265100
1,36,New York State,11-3051,Industrial Production Managers,5310,132010,124250,85140,155450
1,36,New York State,11-3061,Purchasing Managers,4400,160450,145420,95890,192730
1,36,New York State,11-3071,"Transportation, Storage, and Distribution Managers",4010,123100,110590,74500,147400
1,36,New York State,11-3111,Compensation and Benefits Managers,1380,191520,175150,123180,225690
1,36,New York State,11-3121,Human Resources Managers,10800,171210,154110,96240,208690
1,36,New York State,11-3131,Training and Development Managers,2730,171220,160750,108100,202790
1,36,New York State,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",,94800,91450,50400,117000
1,36,New York State,11-9021,Construction Managers,8580,142300,125180,78880,174010
1,36,New York State,11-9031,"Education Administrators, Preschool and Childcare Center/Program",2900,80440,70070,45230,98040
1,36,New York State,11-9032,"Education Administrators, Elementary and Secondary School",19710,142620,139200,93980,166940
1,36,New York State,11-9033,"Education Administrators, Postsecondary",,164860,149710,95990,199300
1,36,New York State,11-9039,"Education Administrators, All Other",1910,117400,105780,64270,143970
1,36,New York State,11-9041,Architectural and Engineering Managers,7130,170440,163000,116190,197560
1,36,New York State,11-9051,Food Service Managers,8330,75680,71480,49970,88530
1,36,New York State,11-9071,Gaming Managers,,89270,79830,60980,103410
1,36,New York State,11-9081,Lodging Managers,1200,87800,76100,52730,105330
1,36,New York State,11-9111,Medical and Health Services Managers,24360,157910,135840,91240,191240
1,36,New York State,11-9121,Natural Sciences Managers,1440,180800,156600,106480,217950
1,36,New York State,11-9131,Postmasters and Mail Superintendents,830,81710,79610,70160,87490
1,36,New York State,11-9141,"Property, Real Estate, and Community Association Managers",8080,116980,97890,66610,142170
1,36,New York State,11-9151,Social and Community Service Managers,13530,90890,84050,60330,106170
1,36,New York State,11-9161,Emergency Management Directors,560,99380,85660,63490,117330
1,36,New York State,11-9171,Funeral Home Managers,550,109500,97670,62140,133180
1,36,New York State,11-9198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",15700,138430,123210,67530,173880
1,36,New York State,13-0000,Business and Financial Operations Occupations,613850,100090,85430,53790,123240
1,36,New York State,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",2820,102700,72960,44750,131680
1,36,New York State,13-1020,Buyers and Purchasing Agents,27380,80610,73950,49780,96020
1,36,New York State,13-1031,"Claims Adjusters, Examiners, and Investigators",15940,77230,74880,51480,90100
1,36,New York State,13-1032,"Insurance Appraisers, Auto Damage",370,75140,70270,53130,86150
1,36,New York State,13-1041,Compliance Officers,22280,82710,75830,49320,99410
1,36,New York State,13-1051,Cost Estimators,8640,80860,73840,49940,96320
1,36,New York State,13-1071,Human Resources Specialists,39720,80260,73600,48650,96070
1,36,New York State,13-1075,Labor Relations Specialists,7300,90040,77280,51050,109530
1,36,New York State,13-1081,Logisticians,4360,79580,75650,52460,93150
1,36,New York State,13-1111,Management Analysts,51820,114850,99220,62320,141120
1,36,New York State,13-1121,"Meeting, Convention, and Event Planners",9490,70340,63740,39110,85950
1,36,New York State,13-1131,Fundraisers,8630,76630,72790,47270,91320
1,36,New York State,13-1141,"Compensation, Benefits, and Job Analysis Specialists",9570,82120,78140,54630,95870
1,36,New York State,13-1151,Training and Development Specialists,22540,73660,69250,40910,90040
1,36,New York State,13-1161,Market Research Analysts and Marketing Specialists,70770,86060,78340,47880,105140
1,36,New York State,13-1198,"Project Management Specialists and Business Operations Specialists, All Other",61250,98440,88620,56400,119460
1,36,New York State,13-2011,Accountants and Auditors,112360,102590,90220,60740,123520
1,36,New York State,13-2020,Appraisers and Assessors of Real Estate,3330,67900,58990,41680,81010
1,36,New York State,13-2031,Budget Analysts,2960,83650,79530,58060,96450
1,36,New York State,13-2041,Credit Analysts,6690,127330,109460,68350,156820
1,36,New York State,13-2052,Personal Financial Advisors,22770,171230,145960,68830,222440
1,36,New York State,13-2053,Insurance Underwriters,7100,105410,87300,57400,129420
1,36,New York State,13-2061,Financial Examiners,11570,121930,106660,66740,149520
1,36,New York State,13-2071,Credit Counselors,2090,66560,62200,45640,77020
1,36,New York State,13-2072,Loan Officers,12560,105580,81520,46190,135280
1,36,New York State,13-2081,"Tax Examiners and Collectors, and Revenue Agents",3670,72830,65700,48440,85020
1,36,New York State,13-2082,Tax Preparers,3940,70070,70350,38930,85640
1,36,New York State,13-2098,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",61920,132150,106890,70530,162960
